Country/Other,Total Cases,New Cases,Total Death,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Tot Deaths/ 1M pop
,North America,"57,449,813","+9,110","1,169,976",+301,"46,220,977","+3,670","10,058,860","17,718"
,Asia,"80,660,912","+39,897","1,190,910",+850,"77,801,748","+56,330","1,668,254","28,089"
,South America,"38,679,882","+2,786","1,175,692",+27,"36,775,599","+1,619","728,591","12,519"
,Europe,"68,144,517","+183,254","1,352,549","+2,434","60,500,884","+163,936","6,291,084","17,115"
,Africa,"8,633,633",+702,"221,108",+28,"8,008,471","+2,262","404,054","1,998"
,Oceania,"335,765","+1,333","3,940",+5,"286,605",+47,"45,220",141
,,721,,15,,706,,0,0
,World,"253,905,243","+237,082","5,114,190","+3,645","229,594,990","+227,864","19,196,063","77,580"
1,USA,"47,896,749","+4,752","783,481",+42,"37,897,335",,"9,215,933","11,309"
2,India,"34,437,307",,"463,530",,"33,837,859","+11,376","135,918","8,944"
3,Brazil,"21,953,838",,"611,255",,"21,146,255",,"196,328","8,318"
4,UK,"9,561,099","+36,517","142,898",+63,"7,825,200","+32,622","1,593,001",999
5,Russia,"9,070,674","+38,823","255,386","+1,219","7,784,585","+29,821","1,030,703","2,300"
6,Turkey,"8,386,542",,"73,342",,"7,868,409",,"444,791","1,405"
7,France,"7,275,149",,"118,137",,"7,007,731",,"149,281","1,049"
8,Iran,"6,037,718","+6,143","128,167",+125,"5,695,949","+12,491","213,602","3,510"
9,Argentina,"5,305,151",,"116,228",,"5,170,876",,"18,047",606
10,Spain,"5,047,156",,"87,673",,"4,889,801",,"69,682",394
11,Colombia,"5,029,335",,"127,766",,"4,870,317",,"31,252",342
12,Germany,"5,016,317","+6,929","98,167",+8,"4,477,900","+11,900","440,250","2,828"
13,Italy,"4,860,061","+7,569","132,775",+36,"4,608,056","+3,411","119,230",458
14,Indonesia,"4,250,855",+339,"143,659",+15,"4,098,178",+503,"9,018",
15,Mexico,"3,844,791","+3,130","291,089",+217,"3,204,910","+2,133","348,792","4,798"
16,Ukraine,"3,217,639","+14,490","76,705",+403,"2,631,240","+11,146","509,694",177
17,Poland,"3,204,515","+14,448","78,867",+46,"2,802,616","+14,613","323,032","1,110"
18,South Africa,"2,925,677",,"89,476",,"2,819,307",,"16,894",546
19,Philippines,"2,816,980","+1,900","45,581",+309,"2,743,297","+2,871","28,102","1,292"
20,Malaysia,"2,541,147",,"29,631",,"2,446,197",,"65,319",527
21,Netherlands,"2,295,107","+12,024","18,734",+6,"2,021,609","+3,676","254,764",345
