country,country_code,year_week,age_group,new_cases,rate_day_per_100k
Austria,AT,2020-10,<15yr,7,0.55
Austria,AT,2020-11,<15yr,10,1.32
Austria,AT,2020-12,<15yr,58,5.30
Austria,AT,2020-13,<15yr,156,16.68
Austria,AT,2020-14,<15yr,104,20.26
Austria,AT,2020-15,<15yr,54,12.31
Austria,AT,2020-16,<15yr,14,5.30
Austria,AT,2020-17,<15yr,21,2.73
Austria,AT,2020-18,<15yr,20,3.20
Austria,AT,2020-19,<15yr,6,2.03
Austria,AT,2020-20,<15yr,26,2.49
Austria,AT,2020-21,<15yr,25,3.97
Austria,AT,2020-22,<15yr,28,4.13
Austria,AT,2020-23,<15yr,33,4.75
Austria,AT,2020-24,<15yr,22,4.29
Austria,AT,2020-25,<15yr,32,4.21
Austria,AT,2020-26,<15yr,42,5.77
Austria,AT,2020-27,<15yr,109,11.77
Austria,AT,2020-28,<15yr,59,13.09
Austria,AT,2020-29,<15yr,95,12.00
Austria,AT,2020-30,<15yr,82,13.80
Austria,AT,2020-31,<15yr,75,12.24
Austria,AT,2020-32,<15yr,53,9.98
Austria,AT,2020-33,<15yr,77,10.13
Austria,AT,2020-34,<15yr,130,16.13
Austria,AT,2020-35,<15yr,177,23.93
Austria,AT,2020-36,<15yr,228,31.57
Austria,AT,2020-37,<15yr,387,47.93
Austria,AT,2020-38,<15yr,512,70.07
Austria,AT,2020-39,<15yr,470,76.54
Austria,AT,2020-40,<15yr,615,84.56
Austria,AT,2020-41,<15yr,841,113.48
Austria,AT,2020-42,<15yr,985,142.32
Austria,AT,2020-43,<15yr,1367,183.31
Austria,AT,2020-44,<15yr,1882,253.22
Austria,AT,2020-45,<15yr,2038,305.52
Austria,AT,2020-46,<15yr,2918,386.26
Austria,AT,2020-47,<15yr,2638,433.03
Austria,AT,2020-48,<15yr,1876,351.82
Austria,AT,2020-49,<15yr,1225,241.69
Austria,AT,2020-50,<15yr,1004,173.73
Austria,AT,2020-51,<15yr,958,152.92
Austria,AT,2020-52,<15yr,874,142.78
Austria,AT,2020-53,<15yr,805,130.86
Austria,AT,2021-01,<15yr,749,121.12
Austria,AT,2021-02,<15yr,518,98.75
Austria,AT,2021-03,<15yr,675,92.98
Austria,AT,2021-04,<15yr,750,111.06
Austria,AT,2021-05,<15yr,784,119.56
Austria,AT,2021-06,<15yr,969,136.63
Austria,AT,2021-07,<15yr,1559,197.03
Austria,AT,2021-08,<15yr,2090,284.40
Austria,AT,2021-09,<15yr,2478,356.02
Austria,AT,2021-10,<15yr,2712,404.50
Austria,AT,2021-11,<15yr,2992,444.56
Austria,AT,2021-12,<15yr,3123,476.60
Austria,AT,2021-13,<15yr,2440,433.57
Austria,AT,2021-14,<15yr,2050,349.94
Austria,AT,2021-15,<15yr,2560,359.30
Austria,AT,2021-16,<15yr,2359,383.38
Austria,AT,2021-17,<15yr,2171,353.06
Austria,AT,2021-18,<15yr,1599,293.83
Austria,AT,2021-19,<15yr,1017,203.89
Austria,AT,2021-20,<15yr,765,138.89
Austria,AT,2021-21,<15yr,550,102.49
Austria,AT,2021-22,<15yr,394,73.57
Austria,AT,2021-23,<15yr,281,52.61
Austria,AT,2021-24,<15yr,171,35.23
Austria,AT,2021-25,<15yr,146,24.71
Austria,AT,2021-26,<15yr,93,18.63
Austria,AT,2021-27,<15yr,106,15.51
Austria,AT,2021-28,<15yr,151,20.03
Austria,AT,2021-29,<15yr,225,29.30
Austria,AT,2021-30,<15yr,262,37.96
Austria,AT,2021-31,<15yr,384,50.35
Austria,AT,2021-32,<15yr,805,92.67
Austria,AT,2021-33,<15yr,1192,155.64
Austria,AT,2021-34,<15yr,1572,215.42
Austria,AT,2021-35,<15yr,2041,281.59
Austria,AT,2021-36,<15yr,2829,379.56
Austria,AT,2021-37,<15yr,3337,480.57
Austria,AT,2021-38,<15yr,2774,476.28
Austria,AT,2021-39,<15yr,2966,447.37
Austria,AT,2021-40,<15yr,2701,441.68
Austria,AT,2020-10,15-24yr,14,1.88
Austria,AT,2020-11,15-24yr,103,12.24
Austria,AT,2020-12,15-24yr,285,40.60
Austria,AT,2020-13,15-24yr,435,75.34
Austria,AT,2020-14,15-24yr,308,77.75
Austria,AT,2020-15,15-24yr,178,50.86
Austria,AT,2020-16,15-24yr,54,24.28
Austria,AT,2020-17,15-24yr,38,9.63
Austria,AT,2020-18,15-24yr,25,6.59
Austria,AT,2020-19,15-24yr,36,6.38
Austria,AT,2020-20,15-24yr,40,7.95
Austria,AT,2020-21,15-24yr,33,7.64
Austria,AT,2020-22,15-24yr,23,5.86
Austria,AT,2020-23,15-24yr,31,5.65
Austria,AT,2020-24,15-24yr,26,5.96
Austria,AT,2020-25,15-24yr,50,7.95
Austria,AT,2020-26,15-24yr,55,10.99
Austria,AT,2020-27,15-24yr,96,15.80
Austria,AT,2020-28,15-24yr,112,21.77
Austria,AT,2020-29,15-24yr,128,25.11
Austria,AT,2020-30,15-24yr,203,34.64
Austria,AT,2020-31,15-24yr,203,42.49
Austria,AT,2020-32,15-24yr,198,41.96
Austria,AT,2020-33,15-24yr,577,81.10
Austria,AT,2020-34,15-24yr,662,129.65
Austria,AT,2020-35,15-24yr,517,123.37
Austria,AT,2020-36,15-24yr,551,111.76
Austria,AT,2020-37,15-24yr,963,158.43
Austria,AT,2020-38,15-24yr,1303,237.12
Austria,AT,2020-39,15-24yr,919,232.52
Austria,AT,2020-40,15-24yr,1078,208.97
Austria,AT,2020-41,15-24yr,1320,250.94
Austria,AT,2020-42,15-24yr,1649,310.69
Austria,AT,2020-43,15-24yr,2961,482.41
Austria,AT,2020-44,15-24yr,4927,825.43
Austria,AT,2020-45,15-24yr,6648,1211.25
Austria,AT,2020-46,15-24yr,6315,1356.49
Austria,AT,2020-47,15-24yr,4786,1161.65
Austria,AT,2020-48,15-24yr,3799,898.36
Austria,AT,2020-49,15-24yr,2610,670.66
Austria,AT,2020-50,15-24yr,2142,497.27
Austria,AT,2020-51,15-24yr,1679,399.84
Austria,AT,2020-52,15-24yr,1501,332.77
Austria,AT,2020-53,15-24yr,1851,350.77
Austria,AT,2021-01,15-24yr,1920,394.61
Austria,AT,2021-02,15-24yr,1474,355.16
Austria,AT,2021-03,15-24yr,1388,299.49
Austria,AT,2021-04,15-24yr,1185,269.25
Austria,AT,2021-05,15-24yr,1174,246.85
Austria,AT,2021-06,15-24yr,1330,262.03
Austria,AT,2021-07,15-24yr,1613,307.97
Austria,AT,2021-08,15-24yr,2004,378.50
Austria,AT,2021-09,15-24yr,2388,459.59
Austria,AT,2021-10,15-24yr,2807,543.62
