YearWeekISO,ReportingCountry,country,NumberDosesReceived,FirstDose,SecondDose,TargetGroup,Vaccine,Population
2020-53,AT,Austria,0,0,0,65-79yr,MOD,8901064
2020-53,AT,Austria,0,0,0,65-79yr,AZ,8901064
2020-53,AT,Austria,0,0,0,65-79yr,JANSS,8901064
2020-53,AT,Austria,0,0,0,65-79yr,UNK,8901064
2020-53,AT,Austria,61425,2787,0,65-79yr,COM,8901064
2020-53,AT,Austria,0,0,0,65-79yr,AZ,8901064
2020-53,AT,Austria,0,0,0,65-79yr,UNK,8901064
2020-53,AT,Austria,0,0,0,65-79yr,JANSS,8901064
2020-53,AT,Austria,61425,2352,0,65-79yr,COM,8901064
2020-53,AT,Austria,0,0,0,65-79yr,MOD,8901064
2020-53,AT,Austria,0,0,0,<15yr,JANSS,8901064
2020-53,AT,Austria,0,0,0,<15yr,MOD,8901064
2020-53,AT,Austria,0,0,0,<15yr,AZ,8901064
2020-53,AT,Austria,61425,0,0,<15yr,COM,8901064
2020-53,AT,Austria,0,0,0,<15yr,UNK,8901064
2020-53,AT,Austria,0,0,0,15-24yr,MOD,8901064
2020-53,AT,Austria,0,0,0,15-24yr,JANSS,8901064
2020-53,AT,Austria,0,0,0,15-24yr,UNK,8901064
2020-53,AT,Austria,61425,5,0,15-24yr,COM,8901064
2020-53,AT,Austria,0,0,0,15-24yr,AZ,8901064
2020-53,AT,Austria,0,0,0,15-24yr,MOD,8901064
2020-53,AT,Austria,0,0,0,15-24yr,AZ,8901064
2020-53,AT,Austria,61425,83,0,15-24yr,COM,8901064
2020-53,AT,Austria,0,0,0,15-24yr,JANSS,8901064
2020-53,AT,Austria,0,0,0,15-24yr,UNK,8901064
2020-53,AT,Austria,61425,1258,0,25-49yr,COM,8901064
2020-53,AT,Austria,0,0,0,25-49yr,AZ,8901064
2020-53,AT,Austria,0,0,0,25-49yr,JANSS,8901064
2020-53,AT,Austria,0,0,0,25-49yr,MOD,8901064
2020-53,AT,Austria,0,0,0,25-49yr,UNK,8901064
2020-53,AT,Austria,0,0,0,50-64yr,MOD,8901064
2020-53,AT,Austria,0,0,0,50-64yr,AZ,8901064
2020-53,AT,Austria,61425,1005,0,50-64yr,COM,8901064
2020-53,AT,Austria,0,0,0,50-64yr,UNK,8901064
2020-53,AT,Austria,0,0,0,50-64yr,JANSS,8901064
2020-53,AT,Austria,61425,580,0,50-64yr,COM,8901064
2020-53,AT,Austria,0,0,0,50-64yr,JANSS,8901064
2020-53,AT,Austria,0,0,0,50-64yr,AZ,8901064
2020-53,AT,Austria,0,0,0,50-64yr,UNK,8901064
2020-53,AT,Austria,0,0,0,50-64yr,MOD,8901064
