country,country_code,year_week,new_cases,number_sequenced,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Austria,AT,2020-40,5597,4,AT.1,0,4,0
Austria,AT,2020-40,5597,4,AY.4.2,0,4,0
Austria,AT,2020-40,5597,4,B.1.1.7,0,4,0
Austria,AT,2020-40,5597,4,B.1.1.7+E484K,0,4,0
Austria,AT,2020-40,5597,4,B.1.351,0,4,0
Austria,AT,2020-40,5597,4,B.1.427/B.1.429,0,4,0
Austria,AT,2020-40,5597,4,B.1.525,0,4,0
Austria,AT,2020-40,5597,4,B.1.526,0,4,0
Austria,AT,2020-40,5597,4,B.1.616,0,4,0
Austria,AT,2020-40,5597,4,B.1.617,0,4,0
Austria,AT,2020-40,5597,4,B.1.617.1,0,4,0
Austria,AT,2020-40,5597,4,B.1.617.2,0,4,0
Austria,AT,2020-40,5597,4,B.1.617.3,0,4,0
Austria,AT,2020-40,5597,4,B.1.620,0,4,0
Austria,AT,2020-40,5597,4,B.1.621,0,4,0
Austria,AT,2020-40,5597,4,C.1.2,0,4,0
Austria,AT,2020-40,5597,4,C.37,0,4,0
Austria,AT,2020-40,5597,4,P.1,0,4,0
Austria,AT,2020-40,5597,4,P.3,0,4,0
Austria,AT,2020-40,5597,4,UNK,0,,
Austria,AT,2020-40,5597,4,Other,4,4,100
Austria,AT,2020-41,7486,26,AT.1,0,26,0
Austria,AT,2020-41,7486,26,AY.4.2,0,26,0
Austria,AT,2020-41,7486,26,B.1.1.7,0,26,0
Austria,AT,2020-41,7486,26,B.1.1.7+E484K,0,26,0
Austria,AT,2020-41,7486,26,B.1.351,0,26,0
Austria,AT,2020-41,7486,26,B.1.427/B.1.429,0,26,0
Austria,AT,2020-41,7486,26,B.1.525,0,26,0
Austria,AT,2020-41,7486,26,B.1.526,0,26,0
Austria,AT,2020-41,7486,26,B.1.616,0,26,0
Austria,AT,2020-41,7486,26,B.1.617,0,26,0
Austria,AT,2020-41,7486,26,B.1.617.1,0,26,0
Austria,AT,2020-41,7486,26,B.1.617.2,0,26,0
Austria,AT,2020-41,7486,26,B.1.617.3,0,26,0
Austria,AT,2020-41,7486,26,B.1.620,0,26,0
Austria,AT,2020-41,7486,26,B.1.621,0,26,0
Austria,AT,2020-41,7486,26,C.1.2,0,26,0
Austria,AT,2020-41,7486,26,C.37,0,26,0
Austria,AT,2020-41,7486,26,P.1,0,26,0
Austria,AT,2020-41,7486,26,P.3,0,26,0
Austria,AT,2020-41,7486,26,UNK,0,,
Austria,AT,2020-41,7486,26,Other,26,26,100
Austria,AT,2020-42,9903,42,AT.1,0,42,0
Austria,AT,2020-42,9903,42,AY.4.2,0,42,0
Austria,AT,2020-42,9903,42,B.1.1.7,0,42,0
Austria,AT,2020-42,9903,42,B.1.1.7+E484K,0,42,0
Austria,AT,2020-42,9903,42,B.1.351,0,42,0
Austria,AT,2020-42,9903,42,B.1.427/B.1.429,0,42,0
Austria,AT,2020-42,9903,42,B.1.525,0,42,0
Austria,AT,2020-42,9903,42,B.1.526,0,42,0
Austria,AT,2020-42,9903,42,B.1.616,0,42,0
Austria,AT,2020-42,9903,42,B.1.617,0,42,0
Austria,AT,2020-42,9903,42,B.1.617.1,0,42,0
Austria,AT,2020-42,9903,42,B.1.617.2,0,42,0
Austria,AT,2020-42,9903,42,B.1.617.3,0,42,0
Austria,AT,2020-42,9903,42,B.1.620,0,42,0
Austria,AT,2020-42,9903,42,B.1.621,0,42,0
Austria,AT,2020-42,9903,42,C.1.2,0,42,0
Austria,AT,2020-42,9903,42,C.37,0,42,0
Austria,AT,2020-42,9903,42,P.1,0,42,0
Austria,AT,2020-42,9903,42,P.3,0,42,0
Austria,AT,2020-42,9903,42,UNK,0,,
Austria,AT,2020-42,9903,42,Other,42,42,100
Austria,AT,2020-43,18275,42,AT.1,0,42,0
Austria,AT,2020-43,18275,42,AY.4.2,0,42,0
Austria,AT,2020-43,18275,42,B.1.1.7,0,42,0
Austria,AT,2020-43,18275,42,B.1.1.7+E484K,0,42,0
Austria,AT,2020-43,18275,42,B.1.351,0,42,0
Austria,AT,2020-43,18275,42,B.1.427/B.1.429,0,42,0
Austria,AT,2020-43,18275,42,B.1.525,0,42,0
Austria,AT,2020-43,18275,42,B.1.526,0,42,0
Austria,AT,2020-43,18275,42,B.1.616,0,42,0
Austria,AT,2020-43,18275,42,B.1.617,0,42,0
Austria,AT,2020-43,18275,42,B.1.617.1,0,42,0
Austria,AT,2020-43,18275,42,B.1.617.2,0,42,0
Austria,AT,2020-43,18275,42,B.1.617.3,0,42,0
Austria,AT,2020-43,18275,42,B.1.620,0,42,0
Austria,AT,2020-43,18275,42,B.1.621,0,42,0
Austria,AT,2020-43,18275,42,C.1.2,0,42,0
Austria,AT,2020-43,18275,42,C.37,0,42,0
Austria,AT,2020-43,18275,42,P.1,0,42,0
Austria,AT,2020-43,18275,42,P.3,0,42,0
Austria,AT,2020-43,18275,42,UNK,0,,
Austria,AT,2020-43,18275,42,Other,42,42,100
Austria,AT,2020-44,31614,51,AT.1,0,51,0
Austria,AT,2020-44,31614,51,AY.4.2,0,51,0
Austria,AT,2020-44,31614,51,B.1.1.7,0,51,0
Austria,AT,2020-44,31614,51,B.1.1.7+E484K,0,51,0
Austria,AT,2020-44,31614,51,B.1.351,0,51,0
Austria,AT,2020-44,31614,51,B.1.427/B.1.429,0,51,0
Austria,AT,2020-44,31614,51,B.1.525,0,51,0
Austria,AT,2020-44,31614,51,B.1.526,0,51,0
Austria,AT,2020-44,31614,51,B.1.616,0,51,0
Austria,AT,2020-44,31614,51,B.1.617,0,51,0
Austria,AT,2020-44,31614,51,B.1.617.1,0,51,0
Austria,AT,2020-44,31614,51,B.1.617.2,0,51,0
Austria,AT,2020-44,31614,51,B.1.617.3,0,51,0
Austria,AT,2020-44,31614,51,B.1.620,0,51,0
Austria,AT,2020-44,31614,51,B.1.621,0,51,0
Austria,AT,2020-44,31614,51,C.1.2,0,51,0
Austria,AT,2020-44,31614,51,C.37,0,51,0
Austria,AT,2020-44,31614,51,P.1,0,51,0
Austria,AT,2020-44,31614,51,P.3,0,51,0
Austria,AT,2020-44,31614,51,UNK,0,,
Austria,AT,2020-44,31614,51,Other,51,51,100
Austria,AT,2020-45,44759,130,AT.1,0,130,0
Austria,AT,2020-45,44759,130,AY.4.2,0,130,0
